251020,Manam,8/5/2020,"The Darwin VAAC reported that on 6 August an ash plume from Manam rose to 3 km (10,000 ft) a.s.l. and drifted SW. The next day ash plumes rose to 2.1 km (7,000 ft) a.s.l. and drifted W."
284096,Nishinoshima,8/5/2020,"Based on satellite data, the Tokyo VAAC reported that during 5-11 August ash plumes from Nishinoshima rose to 4-4.9 km (13,000-16,000 ft) a.s.l. and drifted in multiple directions."
263340,Raung,8/5/2020,"PVMBG reported that an eruptive event at Raung was detected on 1 August, though weather conditions prevented visual confirmation. Weather conditions continued to obscure of views of the volcano during 5-11 August; white plumes were visible rising 100-200 m above the summit during some of the breaks in cloud cover. The Alert Level remained at 2 (on a scale of 1-4), and the public was warned to remain outside of the 2-km exclusion zone."
261080,Sinabung,8/5/2020,"PVMBG reported that at 0158 on 8 August a phreatic eruption at Sinabung produced a brown-gray ash plume that rose 2 km above the summit and drifted E and SE. A news article stated that ashfall impacted at least four districts, including Naman Teran, Merdeka, Berastagi, and Dolat Rayat. BNPB noted that clean water was distributed, and emergency vehicles were deployed to clean up the ashfall. Later that day at 1718 an ash plume rose at least 1 km above the summit and drifted ESE. There is a general exclusion zone set at 3 km from the summit, with extensions to 5 km on the SE and 4 km on the NE. A news article noted that authorities began enforcing a 7-km exclusion zone.

An eruptive event at 1016 on 10 August produced a dense gray ash plume that rose at least 5 km above the summit (24,500 ft a.s.l.) and drifted NE and SE. Parts of the plume drifted down the flank; ashfall was reported in several areas downwind. The Darwin VAAC advisory stated that satellite observations showed ash plumes drifting WNW at 9.8 km (32,000 ft) a.s.l. at 1430 and ENE at 4.3 km (14,000 ft) a.s.l. at 1630. The Alert Level remained at 3 (on a scale of 1-4). Residents and tourists in Berastagi (13 km E) turned on headlights to navigate through the ash according to a news article."
357120,Villarrica,8/5/2020,"POVI reported that small Strombolian explosions at Villarrica were visible in webcam images on 23 July. At 1522 on 7 August a long-period earthquake occurred along with a moderate explosion in the summit crater according to SERNAGEOMIN; a gray ash plume rose to 3.4 km (11,000 ft) a.s.l. (370 m above the vent) and drifted SE. The Alert Level remained at Yellow, the second lowest level on a four-color scale. ONEMI maintained an Alert Level Yellow (the middle level on a three-color scale) for the municipalities of Villarrica, Pucón (16 km N), Curarrehue, and the commune of Panguipulli, and the exclusion zone for the public of 500 m around the crater."
282080,Aira,8/5/2020,"JMA reported that the daily sulfur dioxide emission rate at Minamidake Crater (at Aira Caldera’s Sakurajima volcano) was 700 tons/day on 3 August. An explosion at 0538 on 9 August produced an ash plume that rose as high as 5 km above the crater rim; ejected blocks were not visually confirmed due to weather conditions. Ashfall was reported in areas N of the crater including Kagoshima City (about 10 km W), Kirishima City (20 km NE), Yusui Town (40 km N), and parts of the Miyazaki Prefecture and the Kumamoto Prefecture. After the explosion at 0538, smaller eruptions were intermittently detected through 10 August. The Alert Level remained at 3 (on a 5-level scale)."
268010,Dukono,8/5/2020,"Based on satellite and wind model data, and information from PVMBG, the Darwin VAAC reported that during 5, 7, and 9-11 August ash plumes from Dukono rose to 1.8-2.1 km (6,000-7,000 ft) a.s.l. and drifted in multiple directions. The Alert Level remained at 2 (on a scale of 1-4), and the public was warned to remain outside of the 2-km exclusion zone."
290380,Ebeko,8/5/2020,"Volcanologists in Severo-Kurilsk (Paramushir Island), about 7 km E of Ebeko volcano, observed explosions on 30 July and during 1-2 and 6 August that sent ash plumes up to 3.5 km (11,500 ft) a.s.l. and drifted E. A thermal anomaly over the volcano was identified in satellite images on 6 August; weather clouds obscured views on the other days during 1-7 August. The Aviation Color Code remained at Orange (the second highest level on a four-color scale)."
211060,Etna,8/5/2020,"INGV reported that during 27 July-9 August activity at Etna was characterized by intra-crater Strombolian activity at Northeast Crater (NEC), sporadic Strombolian activity at Voragine Crater (VOR) with minor ash emissions that quickly dispersed, and both Strombolian activity and diffuse ash emissions at the New Southeast Crater (NSEC) cone. Explosive activity increased on 31 July; an ash cloud rose to 4.5 km (14,800 ft) a.s.l. On 2 August very minor ashfall was reported in Trecastagni and Acicastello, possibly from a slight increase in explosive activity that was not visually confirmed.

During 3-9 August Strombolian activity ejected material above the NSEC cone’s crater rim; the activity was almost continuous during the evening of 6 August and the next morning, and booming was heard several kilometers away. Ash emissions dispersed near the summit. A series of ash emissions were visible in the morning of 9 August."
268030,Ibu,8/5/2020,"PVMBG reported that on 5 August an ash plume rose 500 m above Ibu’s summit and drifted N. A few hours later the Darwin VAAC reported that an ash plume rose to 4.3 km (14,000 ft) a.s.l., or 2.9 km above the summit. The Alert Level remained at 2 (on a scale of 1-4), and the public was warned to stay at least 2 km away from the active crater, and 3.5 km away on the N side."
300130,Karymsky,8/5/2020,KVERT reported that a thermal anomaly over Karymsky was identified in satellite images during 5-6 August; weather clouds prevented views of the volcano on the other days during 1-7 August. The Aviation Color Code remained at Orange (the second highest level on a four-color scale).
261170,Kerinci,8/5/2020,"PVMBG reported that at 1024 on 7 August a brown ash emission from Kerinci rose 600 m above the summit and drifted NE, E, and SE. At 1140 on 9 August a brown ash plume rose 600 m above the summit and drifted ENE. The Alert Level remained at 2 (on a scale of 1-4), and the public was warned to remain outside of the 3-km exclusion zone."
345020,Rincon de la Vieja,8/5/2020,"OVSICORI-UNA reported that phreatic activity at Rincón de la Vieja had significantly decreased compared to activity during January-May. Events were recorded at 0546 on 5 August and at 1000 on 8 August, but not visually confirmed due to weather conditions. A phreatic explosion at 0035 on 6 August generated a plume that rose 500 m above the crater rim. Small steam plumes were visible on 10 August; one at 0845 was likely produced from a small phreatic event. Another s small phreatic event was detected later that day at 2346."
354006,Sabancaya,8/5/2020,"Instituto Geofísico del Perú (IGP) reported a daily average of 19 explosions at Sabancaya during 3-9 August. Gas-and-ash plumes rose as high as 2.5 km above the summit and drifted SE, S, SW, and NW. There were five thermal anomalies over the crater identified in satellite data. The Alert Level remained at Orange (the second highest level on a four-color scale) and the public were warned to stay outside of a 12-km radius."
352090,Sangay,8/5/2020,"IG reported a high level of activity at Sangay during 5-11 August. Weather clouds often prevented visual observations of the volcano; according to Washington VAAC notices and IG webcams ash plumes rose 870-2,000 m above the summit and drifted NW, W, and S almost daily. Heavy rain generated secondary lahars in the Volcán and Upano drainages during 5-7 August."
263300,Semeru,8/5/2020,"PVMBG reported that the eruption at Semeru continued during 5-11 August, though sometimes foggy conditions prevented visual confirmation. Ash plumes rose 400-500 m above the summit and drifted N on 8 August. The Alert Level remained at 2 (on a scale of 1-4), and the public was reminded to stay outside of the general 1-km radius from the summit and 4 km on the SSE flank."
300270,Sheveluch,8/5/2020,"KVERT reported that a thermal anomaly over Sheveluch was identified in satellite images during 1-7 August. A moderate explosion produced a small ash plume that rose to 4.5 km (14,800 ft) a.s.l. and drifted SE and E on 2 August according to the Kamchatka Branch of Geophysical Services (KBGS; Russian Academy of Sciences). The Aviation Color Code remained at Orange (the second highest level on a four-color scale)."
282030,Suwanosejima,8/5/2020,"JMA reported occasional eruptive events, three explosions, and occasional nighttime incandescence at Suwanosejima’s Ontake Crater during 31 July-7 August. An explosion at 1553 on 1 August generated an ash plume that rose 1.8 km above the crater rim. The Alert Level remained at 2 (on a 5-level scale)."
345070,Turrialba,8/5/2020,"OVSICORI-UNA reported that there were 19 minor ash emissions recorded at Turrialba during 4-5 August, with event durations lasting no longer than three minutes and plumes rising no higher than 200 m above the summit. Four more events were recorded on 5 August, with event durations lasting less than 10 minutes. Plumes again rose no higher than 200 m."
251020,Manam,8/12/2020,"The Darwin VAAC reported that on 16 August ash plumes from Manam rose 2.1-4.3 km (7,000-14,000 ft) a.s.l. and drifted W and NW."
263340,Raung,8/12/2020,"PVMBG reported that gray emissions rose 200 m above Raung’s summit and drifted S during 11-12 August. White plumes rose as high as 100 m and drifted N and S on a few days during 13-18 August; weather conditions sometimes prevented visual observations. The Alert Level remained at 2 (on a scale of 1-4), and the public was warned to remain outside of the 2-km exclusion zone."
261080,Sinabung,8/12/2020,"PVMBG reported that white-and-gray plumes rose 200 m above Sinabung’s summit and drifted E and SE on 12 August. A series of seven eruptions late on 13 August generated ash plumes that rose as high as 2 km and drifted E, SE, and S. The first event, at 0607, lasted for 12 minutes and produced an ash plume that rose 2 km according to BNPB. Seismicity was dominated by continuous tremor during the series. Eruptive events at 1030, 1425, and 1455 on 14 August produced ash plumes that rose as high as 2.1 km and drifted SSE and ESE. An ash plume from an event at 1656 rose 4.2 km and drifted E. At 1724 on 17 August an ash plume rose 1.5 km and drifted SE. Ash plumes rose as high as 2 km on 18 August. The Alert Level remained at 3 (on a scale of 1-4), with a general exclusion zone of 3 km and extensions to 5 km on the SE sector and 4 km in the NE sector."
282080,Aira,8/12/2020,"JMA reported that very small eruptive events at Minamidake Crater (at Aira Caldera’s Sakurajima volcano) were recorded during 10-17 August. The daily sulfur dioxide emission rate was just over 1,000 tons/day on 13 August. During an overflight on 14 August observers noted that emissions were rising from multiple vents in the crater. The Alert Level remained at 3 (on a 5-level scale)."
268010,Dukono,8/12/2020,"Based on satellite and wind model data, the Darwin VAAC reported that during 12-18 August ash plumes from Dukono rose to 2.1 km (7,000 ft) a.s.l. and drifted in multiple directions. A discrete ash plume rose to 4.3 km (14,000 ft) a.s.l. and drifted W on 17 August; the event was associated with a summit thermal anomaly. The Alert Level remained at 2 (on a scale of 1-4), and the public was warned to remain outside of the 2-km exclusion zone."
290380,Ebeko,8/12/2020,"Volcanologists in Severo-Kurilsk (Paramushir Island), about 7 km E of Ebeko, observed explosions on 7, 9, 11, and 13 August that sent ash plumes up to 3 km (10,000 ft) a.s.l. and drifted W, S, and E. Ashfall was reported in Severo-Kurilsk on 9 August. A thermal anomaly over the volcano was identified in satellite images on 7 and 10 August. The Aviation Color Code remained at Orange (the second highest level on a four-color scale)."
268030,Ibu,8/12/2020,"PVMBG reported that during 12-14 and 16-17 August ash plumes rose 200-800 m above Ibu’s summit and drifted N, W, and S. Weather conditions sometimes prevented visual observations of the summit. The Alert Level remained at 2 (on a scale of 1-4), and the public was warned to stay at least 2 km away from the active crater, and 3.5 km away on the N side."
